               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068387,            0.022358,             0.08181,           0.0075366,              0.9815,             0.07282,            0.034948,            0.033098,           0.0076808,            0.065395,            0.070093,           0.0033229,           0.0033229
                   1,            0.046839,            0.015247,            0.075688,             0.46139,             0.22439,             0.28272,             0.13352,            0.030171,            0.005691,            0.057098,            0.039962,           0.0065245,           0.0065245
                   2,            0.045286,            0.013612,            0.066845,             0.37355,             0.54723,             0.53297,             0.26488,            0.033787,           0.0057011,              0.0452,           0.0096979,            0.009594,            0.009594
                   3,            0.045914,            0.013044,            0.056116,              0.5888,             0.69242,             0.70664,             0.31938,             0.03462,           0.0055295,            0.027995,            0.009406,            0.009406,            0.009406
                   4,            0.044388,            0.013017,            0.045429,             0.65551,             0.77747,             0.81261,             0.37559,            0.034522,           0.0058202,             0.02146,            0.009406,            0.009406,            0.009406
                   5,            0.043557,             0.01247,            0.040495,             0.71358,             0.84104,             0.84393,             0.40762,            0.032506,           0.0054203,            0.017517,            0.009208,            0.009208,            0.009208
                   6,             0.04263,             0.01222,            0.036611,             0.78082,             0.84599,              0.8828,             0.48726,            0.027219,           0.0053338,            0.014287,             0.00901,             0.00901,             0.00901
                   7,            0.042005,            0.012151,            0.033791,             0.82757,             0.89145,             0.91207,             0.47632,            0.029306,           0.0052564,            0.010597,            0.008812,            0.008812,            0.008812
                   8,            0.041002,            0.011942,             0.03283,             0.79531,              0.9118,             0.92953,             0.51364,            0.027767,           0.0050892,            0.010348,            0.008614,            0.008614,            0.008614
                   9,            0.040217,              0.0118,            0.030152,             0.77667,             0.86771,             0.89179,             0.43067,            0.031286,           0.0051745,            0.011033,            0.008416,            0.008416,            0.008416
