epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.962,1.68526,4.52138,1.78662,0.76666,0.67964,0.77438,0.46084,1.36579,1.53719,1.57702,0.000110654,0.000110654,0.000110654
2,253.946,1.46439,2.14758,1.61957,0.8643,0.88094,0.94641,0.59804,1.32058,1.05792,1.56826,0.000217265,0.000217265,0.000217265
3,364.556,1.45613,1.79743,1.62256,0.84313,0.88255,0.93492,0.58803,1.3196,1.05227,1.57674,0.000319481,0.000319481,0.000319481
4,533.784,1.43909,1.63278,1.60636,0.86512,0.92226,0.93338,0.5747,1.32461,0.91387,1.53861,0.00031322,0.00031322,0.00031322
5,643.238,1.40832,1.4728,1.59281,0.89975,0.92143,0.97307,0.61612,1.26306,0.86025,1.51284,0.000306626,0.000306626,0.000306626
6,756.857,1.37624,1.39496,1.55112,0.89743,0.92191,0.94742,0.59386,1.30886,0.84912,1.53316,0.000300033,0.000300033,0.000300033
7,865.471,1.36351,1.31536,1.54953,0.8729,0.94734,0.95906,0.60735,1.28186,0.8064,1.4972,0.00029344,0.00029344,0.00029344
8,975.599,1.32571,1.22666,1.52035,0.92727,0.94289,0.97013,0.59478,1.35319,0.79221,1.54774,0.000286846,0.000286846,0.000286846
9,1088.65,1.3119,1.17416,1.50991,0.95053,0.94248,0.98028,0.6112,1.3368,0.735,1.53646,0.000280253,0.000280253,0.000280253
10,1198.54,1.31558,1.15295,1.50725,0.92694,0.94469,0.98004,0.6152,1.2934,0.74278,1.5167,0.000273659,0.000273659,0.000273659
11,1324.58,1.29907,1.10068,1.5053,0.92346,0.94548,0.98154,0.6158,1.3017,0.70411,1.5136,0.000267066,0.000267066,0.000267066
12,1448.46,1.30419,1.08743,1.49991,0.95287,0.95126,0.98444,0.64602,1.22907,0.64163,1.47488,0.000260473,0.000260473,0.000260473
13,1558.42,1.27624,1.07081,1.47957,0.95565,0.95405,0.97714,0.64937,1.22876,0.64988,1.46362,0.000253879,0.000253879,0.000253879
14,1670.45,1.25961,1.00784,1.47016,0.93933,0.95468,0.98713,0.65167,1.24777,0.6412,1.46472,0.000247286,0.000247286,0.000247286
15,1783.99,1.27142,1.01261,1.47276,0.95721,0.95938,0.98573,0.64807,1.2371,0.61114,1.46574,0.000240692,0.000240692,0.000240692
16,1894.05,1.23619,0.96915,1.44964,0.95294,0.96558,0.98347,0.64886,1.26352,0.62016,1.47232,0.000234099,0.000234099,0.000234099
17,2006.31,1.23646,0.94158,1.44953,0.94855,0.94454,0.97958,0.6526,1.24337,0.61503,1.4718,0.000227506,0.000227506,0.000227506
18,2116.09,1.23678,0.93641,1.45018,0.93936,0.96028,0.97561,0.64789,1.23941,0.59246,1.47009,0.000220912,0.000220912,0.000220912
19,2245.91,1.21734,0.93283,1.43365,0.96028,0.95325,0.98072,0.64927,1.21509,0.58872,1.43873,0.000214319,0.000214319,0.000214319
20,2452.91,1.2005,0.89606,1.42056,0.93856,0.95214,0.97432,0.64222,1.26262,0.63841,1.47448,0.000207725,0.000207725,0.000207725
21,2562.51,1.20575,0.89422,1.42791,0.95057,0.96746,0.9807,0.64217,1.24894,0.58629,1.45318,0.000201132,0.000201132,0.000201132
22,2675.85,1.19043,0.87189,1.41449,0.93455,0.95105,0.98154,0.63892,1.25462,0.60041,1.46503,0.000194539,0.000194539,0.000194539
23,2786.35,1.19046,0.85014,1.41837,0.95404,0.96722,0.98455,0.63548,1.25957,0.56135,1.471,0.000187945,0.000187945,0.000187945
24,2896.59,1.18314,0.82401,1.41291,0.94946,0.96848,0.98299,0.62659,1.287,0.57105,1.51761,0.000181352,0.000181352,0.000181352
25,3009.45,1.17193,0.81774,1.40456,0.95109,0.95513,0.97649,0.6268,1.34473,0.578,1.53509,0.000174758,0.000174758,0.000174758
26,3123.77,1.17771,0.8307,1.40769,0.95178,0.96057,0.98252,0.64344,1.25014,0.57413,1.4435,0.000168165,0.000168165,0.000168165
27,3238.37,1.16325,0.79806,1.39837,0.95725,0.96515,0.98122,0.64619,1.25716,0.53493,1.48748,0.000161572,0.000161572,0.000161572
28,3356.57,1.16611,0.79804,1.40781,0.95228,0.9555,0.97639,0.64156,1.23466,0.56695,1.45859,0.000154978,0.000154978,0.000154978
29,3468.23,1.13184,0.77867,1.37596,0.9668,0.94727,0.98166,0.64214,1.2612,0.5335,1.47095,0.000148385,0.000148385,0.000148385
30,3583.5,1.14566,0.77251,1.3889,0.95941,0.94253,0.97,0.64435,1.24895,0.57708,1.46694,0.000141791,0.000141791,0.000141791
31,3712.45,1.12781,0.76367,1.37322,0.94989,0.95055,0.96793,0.64081,1.23717,0.56503,1.45253,0.000135198,0.000135198,0.000135198
32,3823.94,1.13417,0.7547,1.38151,0.96651,0.94965,0.97998,0.63681,1.24511,0.5236,1.4691,0.000128605,0.000128605,0.000128605
33,3934.95,1.11766,0.73749,1.35978,0.95551,0.96119,0.97961,0.61994,1.32238,0.54528,1.51623,0.000122011,0.000122011,0.000122011
34,4048.21,1.11703,0.73565,1.36875,0.94853,0.96557,0.98393,0.6407,1.23854,0.50526,1.4717,0.000115418,0.000115418,0.000115418
35,4158.28,1.09865,0.71004,1.35199,0.96522,0.95652,0.97994,0.63948,1.25919,0.51613,1.4734,0.000108824,0.000108824,0.000108824
36,4273.24,1.09075,0.72719,1.34945,0.96181,0.95115,0.98269,0.62248,1.3254,0.54045,1.55222,0.000102231,0.000102231,0.000102231
37,4383.83,1.08854,0.71085,1.35221,0.96392,0.95017,0.9775,0.64982,1.23867,0.52722,1.46252,9.56376e-05,9.56376e-05,9.56376e-05
38,4494.54,1.07832,0.69154,1.34237,0.9638,0.95359,0.98232,0.64022,1.24664,0.53245,1.47612,8.90442e-05,8.90442e-05,8.90442e-05
39,4610.57,1.08454,0.69657,1.34883,0.95594,0.96693,0.97856,0.64094,1.24105,0.51918,1.46586,8.24508e-05,8.24508e-05,8.24508e-05
40,4752.75,1.06248,0.68079,1.32998,0.95619,0.96267,0.97703,0.6362,1.24797,0.52932,1.48577,7.58574e-05,7.58574e-05,7.58574e-05
41,4913.01,1.01414,0.4392,1.37375,0.96051,0.96292,0.98081,0.64535,1.24923,0.52535,1.47787,6.9264e-05,6.9264e-05,6.9264e-05
42,5040.36,1.00372,0.4346,1.37848,0.96722,0.94975,0.97517,0.64021,1.25614,0.52292,1.47931,6.26706e-05,6.26706e-05,6.26706e-05
43,5150.96,0.99406,0.42897,1.36728,0.9461,0.96692,0.9792,0.63172,1.30024,0.53581,1.51581,5.60772e-05,5.60772e-05,5.60772e-05
44,5263.47,0.97829,0.41908,1.3489,0.95467,0.96587,0.97926,0.64706,1.23508,0.53093,1.47762,4.94838e-05,4.94838e-05,4.94838e-05
45,5373.15,0.96371,0.41333,1.34564,0.95864,0.96923,0.9805,0.64542,1.2564,0.52367,1.48714,4.28904e-05,4.28904e-05,4.28904e-05
46,5484.75,0.95474,0.40787,1.33489,0.94502,0.95914,0.97617,0.63962,1.25784,0.52334,1.49942,3.6297e-05,3.6297e-05,3.6297e-05
47,5597.47,0.94461,0.40171,1.33224,0.96255,0.95294,0.97429,0.63774,1.27193,0.52214,1.50813,2.97036e-05,2.97036e-05,2.97036e-05
48,5785.22,0.93486,0.39633,1.32248,0.96095,0.95236,0.97482,0.63381,1.2838,0.51461,1.51972,2.31102e-05,2.31102e-05,2.31102e-05
49,5894.08,0.92671,0.39335,1.31354,0.96133,0.95435,0.97818,0.63449,1.29297,0.52703,1.53236,1.65168e-05,1.65168e-05,1.65168e-05
50,6004.93,0.91663,0.39355,1.31133,0.95998,0.95191,0.97771,0.63555,1.28299,0.5347,1.52318,9.9234e-06,9.9234e-06,9.9234e-06
